5	7	35	1.4	0.4	0.657	2.33	14	23	6	0
6	3	18	500	0.5	0.944	2.25	9	17	4	0
5	2	10	0.4	0.8	1	8	8	10	1	0
5	4	20	0.8	0.5	0.8	10	10	16	1	0
11	9	99	0.818	0.343	0.626	3.4	34	62	10	0
11	8	88	0.727	0.602	1	5.89	53	88	9	0
11	35	385	3.182	0.382	0.657	6.13	147	253	24	0
3	59	177	19.667	0.475	0.475	84	84	84	1	1
9	21	189	2.333	0.429	0.772	3	81	146	27	0
2	22	44	11	0.705	0.864	15.5	31	38	2	1
9	41	369	4.556	0.298	0.775	1.9	110	286	58	0
10	4	40	0.4	0.375	0.4	15	15	16	1	0
9	32	288	3.556	0.271	0.594	2.23	78	171	35	0
1	10	10	10	1	1	10	10	10	1	1
9	5	45	0.556	0.378	0.933	2.83	17	42	6	0
3	113	339	37.667	0.357	0.378	30.25	121	128	4	1
98	3	294	0.031	0.48	0.486	141	141	143	1	1
9	37	333	4.111	0.526	0.898	3.18	175	299	55	0
9	85	765	9.444	0.302	0.812	1.82	231	621	127	0
9	75	675	8.333	0.256	0.606	2.19	173	409	79	0
10	44	440	4.4	0.393	0.852	3.15	173	375	55	0
9	40	360	4.444	0.356	0.967	2.29	128	348	56	0
2	18	36	9	0.722	0.722	26	26	26	1	1
1	8	8	8	1	1	8	8	8	1	1
2	69	138	34.5	0.623	0.906	10.75	86	125	8	1
11	77	847	7	0.345	0.874	2.43	292	740	120	0
9	41	369	4.556	0.301	0.886	1.91	111	327	58	0
1	57	57	57	0.456	1	3.71	26	57	7	1
6	27	162	4.5	0.154	0.481	2.78	25	78	9	0
7	17	119	2.429	0.227	0.58	2.7	27	69	10	0
2	31	62	15.5	0.194	0.516	2	12	32	6	0
2	19	38	9.5	0.237	1	1.8	9	38	5	0
11	9	99	0.818	0.485	0.727	6	48	72	8	0
11	9	99	0.818	0.475	0.636	15.67	47	63	3	0
11	8	88	0.727	0.511	0.852	9	45	75	5	0
10	38	380	3.8	0.387	0.887	2.49	147	337	59	0
9	14	126	1.556	0.127	0.937	1.78	16	118	9	0
8	35	280	4.375	0.379	0.886	1.66	106	248	64	0
9	95	855	10.556	0.285	0.723	2.1	244	618	116	0
8	80	640	10	0.298	0.883	1.72	191	565	111	0
9	99	891	11	0.27	0.818	1.93	241	729	125	0
8	84	672	10.5	0.269	0.966	1.79	181	649	101	0
