5	8	40	1.6	0.55	1	2.44	22	40	9	0
6	7	42	1.167	0.405	0.881	4.25	1	737	4	0
4	6	24	1.5	0.458	0.792	5.5	11	19	2	0
4	18	72	4.5	0.25	0.528	2.57	18	38	7	0
7	16	112	2.286	0.321	0.643	2.57	36	72	14	0
7	103	721	14.714	0.295	0.691	1.76	213	498	121	0
9	50	450	5.556	0.496	0.958	2.69	223	431	83	0
10	66	660	6.6	0.273	0.661	1.94	180	436	93	0
9	34	306	3.778	0.32	0.886	1.56	98	271	63	0
10	53	530	5.3	0.294	0.819	1.79	156	434	87	0
9	83	747	9.222	0.284	0.849	1.91	212	634	111	0
9	64	576	7.111	0.299	0.97	1.81	172	559	95	0
12	12	144	1	0.306	0.979	1.69	44	141	26	0
9	54	486	6	0.292	0.957	1.48	142	465	96	0
12	11	132	0.917	0.371	1	1.63	49	132	30	0
9	76	684	8.444	0.307	0.882	1.84	210	603	114	0
2	20	40	10	0.725	0.875	29	29	35	1	1
2	20	40	10	0.775	0.85	31	31	34	1	1
8	3	24	0.375	0.417	0.417	10	10	10	1	0
2	48	96	24	0.625	0.677	30	60	65	2	1
9	21	189	2.333	0.291	0.762	1.57	55	144	35	0
10	100	1000	10	0.436	0.91	2.53	436	910	172	0
1	10	10	10	0.9	1	9	9	10	1	1
7	15	105	2.143	0.324	0.762	3.09	34	80	11	0
7	46	322	6.571	0.155	0.587	4.17	50	189	12	0
2	11	22	5.5	0.409	0.955	9	9	21	1	0
1	43	43	43	0.907	1	9.75	39	43	4	1
8	20	160	2.5	0.5	1	2.76	80	160	29	0
9	36	324	4	0.54	0.929	2.87	175	301	61	0
9	66	594	7.333	0.323	0.805	2	192	478	96	0
9	80	720	8.889	0.293	0.868	1.85	211	625	114	0
11	101	1111	9.182	0.239	0.818	1.61	265	909	165	0
12	40	480	3.333	0.271	0.733	1.97	130	352	66	0
8	41	328	5.125	0.363	0.942	1.63	119	309	73	0
9	34	306	3.778	0.379	0.961	1.71	116	294	68	0
8	18	144	2.25	0.479	0.986	2.16	69	142	32	0
9	36	324	4	0.568	0.932	3.02	184	302	61	0
8	21	168	2.625	0.339	0.673	1.97	57	113	29	0
5	2	10	0.4	0.8	0.8	8	8	8	1	1
12	117	1404	9.75	0.22	0.673	1.68	309	945	184	0
2	112	224	56	0.496	0.504	55.5	111	113	2	1
1	75	75	75	0.813	1	5.55	61	75	11	1
6	27	162	4.5	0.136	0.673	2	22	109	11	0
5	3	15	0.6	0.467	1	7	7	15	1	0
5	35	175	7	0.2	0.829	4.38	35	145	8	0
4	47	188	11.75	0.298	0.739	2.33	56	139	24	0
3	31	93	10.333	0.226	0.774	2.1	21	72	10	0
11	9	99	0.818	0.465	0.818	9.2	46	81	5	0
10	8	80	0.8	0.5	1	5	40	80	8	0
10	38	380	3.8	0.439	0.897	2.83	167	341	59	0
