6	7	42	1.167	0.429	0.881	3.6	18	37	5	0
5	7	35	1.4	0.371	0.743	4.33	13	26	3	0
5	5	25	1	0.4	0.52	10	10	13	1	0
5	7	35	1.4	0.486	0.914	8.5	17	32	2	0
5	6	30	1.2	0.433	0.733	13	13	22	1	0
6	7	42	1.167	0.405	0.952	4.25	17	40	4	0
5	19	95	3.8	0.232	0.4	5.5	22	38	4	0
5	5	25	1	0.4	0.56	5	10	14	2	0
4	6	24	1.5	0.417	0.5	10	10	12	1	0
2	101	202	50.5	0.54	0.743	10.9	109	150	10	1
2	18	36	9	0.806	0.833	29	29	30	1	1
9	12	108	1.333	0.444	0.981	1.71	48	106	28	0
9	80	720	8.889	0.333	0.878	2.02	240	632	119	0
10	12	120	1.2	0.367	1	1.69	44	120	26	0
9	12	108	1.333	0.454	1	1.69	49	108	29	0
11	102	1122	9.273	0.223	0.768	1.53	250	862	163	0
12	56	672	4.667	0.256	0.827	2.02	172	556	85	0
9	84	756	9.333	0.222	0.937	1.81	168	708	93	0
12	44	528	3.667	0.261	0.767	2.38	138	405	58	0
10	34	340	3.4	0.297	0.885	1.71	101	301	59	0
12	44	528	3.667	0.294	0.742	2.31	155	392	67	0
1	44	44	44	0.25	1	2.2	11	44	5	1
8	8	64	1	0.234	0.328	5	15	21	3	0
9	32	288	3.556	0.302	0.781	2.07	87	225	42	0
11	101	1111	9.182	0.398	0.888	2.76	442	987	160	0
9	40	360	4.444	0.319	0.919	2.35	115	331	49	0
3	116	348	38.667	0.356	0.371	62	124	129	2	1
3	132	396	44	0.505	0.558	20	200	221	10	1
2	46	92	23	0.587	0.761	18	54	70	3	1
10	131	1310	13.1	0.415	0.857	2.74	543	1123	198	0
7	107	749	15.286	0.27	0.654	1.6	202	490	126	0
5	9	45	1.8	0.267	0.778	1.71	12	35	7	0
9	19	171	2.111	0.292	0.76	2.63	50	130	19	0
9	55	495	6.111	0.299	1	1.92	148	495	77	0
9	96	864	10.667	0.281	0.815	1.96	243	704	124	0
10	13	130	1.3	0.108	0.685	2.33	14	89	6	0
8	70	560	8.75	0.341	0.918	1.66	191	514	115	0
9	82	738	9.111	0.252	0.74	2	186	546	93	0
7	33	231	4.714	0.143	0.844	2.36	33	195	14	0
8	48	384	6	0.31	0.807	1.92	119	310	62	0
9	20	180	2.222	0.261	0.556	2.35	47	100	20	0
9	22	198	2.444	0.298	0.965	2.11	59	191	28	0
8	41	328	5.125	0.335	0.933	2.08	110	306	53	0
11	21	231	1.909	0.411	0.68	3.96	95	157	24	0
10	21	210	2.1	0.324	0.6	3.4	68	126	20	0
2	157	314	78.5	0.506	0.551	26.5	159	173	6	1
9	36	324	4	0.549	0.914	3.3	178	296	54	0
1	32	32	32	0.719	1	5.75	23	32	4	1
9	23	207	2.556	0.304	1	1.62	63	207	39	0
9	37	333	4.111	0.381	0.808	2.05	127	269	62	0
9	32	288	3.556	0.292	0.826	1.53	84	238	55	0
94	2	188	0.021	0.516	0.516	97	97	97	1	1
10	83	830	8.3	0.295	0.725	2.02	245	602	121	0
12	43	516	3.583	0.293	0.791	2.29	151	408	66	0
1	36	36	36	0.722	1	8.67	26	36	3	1
9	32	288	3.556	0.365	0.781	2.23	105	225	47	0
4	2	8	0.5	0.875	0.875	7	7	7	1	1
9	44	396	4.889	0.465	0.944	3.35	184	374	55	0
8	46	368	5.75	0.348	0.918	1.97	128	338	65	0
8	45	360	5.625	0.367	0.897	2.44	132	323	54	0
42	7	294	0.167	0.282	0.432	2.18	83	127	38	1
9	174	1566	19.333	0.178	0.737	1.71	279	1154	163	0
8	45	360	5.625	0.156	0.725	1.87	56	261	30	0
7	27	189	3.857	0.101	0.619	3.8	19	117	5	0
9	97	873	10.778	0.466	0.973	2.42	407	849	168	0
9	92	828	10.222	0.365	0.954	2.2	302	790	137	0
3	213	639	71	0.318	0.379	11.94	203	242	17	1
45	79	3555	1.756	0.087	0.195	4.81	308	693	64	1
6	22	132	3.667	0.197	1	2.89	26	132	9	0
7	45	315	6.429	0.2	0.775	1.91	63	244	33	0
11	35	385	3.182	0.335	0.584	4.78	129	225	27	0
9	21	189	2.333	0.529	0.958	3.33	100	181	30	0
10	49	490	4.9	0.551	0.943	3.07	270	462	88	0
9	78	702	8.667	0.349	0.863	2.17	245	606	113	0
9	82	738	9.111	0.389	0.92	2.33	287	679	123	0
10	11	110	1.1	0.373	1	1.58	41	110	26	0
10	34	340	3.4	0.356	0.803	1.83	121	273	66	0
10	126	1260	12.6	0.456	0.883	2.85	575	1113	202	0
10	85	850	8.5	0.333	0.696	2.28	283	592	124	0
1	40	40	40	1	1	40	40	40	1	1
2	64	128	32	0.531	0.586	17	68	75	4	1
7	47	329	6.714	0.271	0.878	2.23	89	289	40	0
8	47	376	5.875	0.362	0.88	2	136	331	68	0
8	16	128	2	0.477	0.906	2.44	61	116	25	0
12	8	96	0.667	0.479	0.5	46	46	48	1	0
12	7	84	0.583	0.56	1	5.22	47	84	9	0
11	98	1078	8.909	0.317	0.643	2.8	342	693	122	0
9	47	423	5.222	0.492	0.948	2.42	208	401	86	0
17	2	34	0.118	0.706	0.706	24	24	24	1	1
8	21	168	2.625	0.31	0.744	1.68	52	125	31	0
9	47	423	5.222	0.385	0.917	2.51	163	388	65	0
8	46	368	5.75	0.318	0.818	2.09	117	301	56	0
9	36	324	4	0.556	0.923	3.21	180	299	56	0
9	21	189	2.333	0.487	0.857	3.29	92	162	28	0
9	23	207	2.556	0.3	1	1.51	62	207	41	0
9	82	738	9.111	0.428	0.936	2.38	316	691	133	0
12	85	1020	7.083	0.305	0.828	1.94	311	845	160	0
9	82	738	9.111	0.374	0.866	2.3	276	639	120	0
9	82	738	9.111	0.37	0.924	2.39	273	682	114	0
